id,nama_property,lokasi,tipe,luas_m2,harga_sewa_bulan,fasilitas,jarak_ke_mrt_km,rating_review
118,Tower Cikini C,Jakarta Pusat,3BR,97.7,19050000,"Furnished, Gym, Keamanan 24 Jam, Minimarket, Taman Bermain",6.27,4.7
119,Residence Green Bay II,Jakarta Utara,1BR,38.8,4880000,"AC, Akses Kartu, Furnished, Gym, Taman Bermain",1.59,3.3
120,Kost Eksklusif Cervino C,Depok,Studio,27.9,3100000,"Furnished, Kolam Renang, Laundry, Parkir, Taman Bermain",0.64,4.0
121,Tower Margonda C,Tangerang,2BR,55.9,7750000,"AC, Gym, Keamanan 24 Jam, Minimarket, Parkir, Taman Bermain",1.98,5.0
122,Kost Eksklusif Grand Galaxy B,Jakarta Pusat,2BR,58.0,6770000,"Akses Kartu, Gym, Keamanan 24 Jam, Kolam Renang, Parkir, Taman Bermain",1.56,4.9
123,Kost Eksklusif Pondok Indah B,Jakarta Pusat,2BR,72.7,9760000,"AC, Kolam Renang, Laundry, Minimarket, Parkir, Taman Bermain",2.0,3.4
124,Residence Pluit C,Depok,Studio,18.6,3490000,"AC, Akses Kartu, Kolam Renang, Laundry, Minimarket, Parkir",10.6,4.5
125,Tower Royal Mediterania II,Depok,Studio,22.8,3640000,"AC, Akses Kartu, Gym, Laundry, Minimarket",2.42,3.2
126,Apartemen Kemang B,Jakarta Barat,3BR,89.3,14890000,"AC, Keamanan 24 Jam, Kolam Renang, Laundry, Parkir",6.74,4.4
127,Kost Eksklusif Cikini II,Bekasi,3BR,74.7,14150000,"AC, Keamanan 24 Jam, Laundry, Minimarket, Taman Bermain",1.76,4.0
128,Kost Eksklusif Green Bay B,Jakarta Utara,3BR,118.0,9950000,"AC, Akses Kartu, Keamanan 24 Jam, Kolam Renang, Parkir, Taman Bermain",8.12,4.4
129,Residence Sudirman I,Bekasi,1BR,36.9,5300000,"AC, Furnished, Keamanan 24 Jam, Kolam Renang, Minimarket, Parkir",9.32,3.6
130,Kost Eksklusif Margonda I,Jakarta Pusat,3BR,109.9,13930000,"Akses Kartu, Keamanan 24 Jam, Parkir",11.05,4.1
131,Kost Eksklusif Cervino B,Depok,1BR,35.8,4830000,"Gym, Keamanan 24 Jam, Minimarket, Parkir, Taman Bermain",6.6,4.9
132,Kost Eksklusif Bintaro I,Jakarta Utara,2BR,64.7,7760000,"AC, Akses Kartu, Furnished, Keamanan 24 Jam, Kolam Renang, Minimarket",5.92,4.6
133,Tower Permata C,Jakarta Pusat,2BR,41.5,10720000,"AC, Akses Kartu, Laundry, Minimarket, Parkir",11.1,3.3
134,Suites Casablanca B,Jakarta Timur,1BR,28.9,5760000,"Gym, Keamanan 24 Jam, Kolam Renang, Laundry",2.79,3.0
135,Kost Eksklusif Kelapa Gading II,Jakarta Pusat,3BR,107.4,18190000,"AC, Furnished, Kolam Renang, Laundry, Minimarket",7.84,4.5
136,Kost Eksklusif Casablanca C,Jakarta Selatan,1BR,35.1,9570000,"AC, Akses Kartu, Keamanan 24 Jam, Kolam Renang, Minimarket, Taman Bermain",0.53,3.6
137,Tower Kuningan A,Bekasi,1BR,42.5,4670000,"Furnished, Keamanan 24 Jam, Minimarket",2.39,4.5
138,Residence Thamrin I,Jakarta Utara,1BR,31.0,5640000,"Akses Kartu, Furnished, Gym, Kolam Renang, Parkir, Taman Bermain",10.77,3.6
139,Residence Kemang A,Jakarta Timur,Studio,21.1,2970000,"AC, Furnished, Keamanan 24 Jam, Kolam Renang, Taman Bermain",9.07,3.9
140,Residence Thamrin I,Jakarta Pusat,3BR,109.6,19820000,"AC, Furnished, Parkir",9.26,3.3
141,Tower Senayan II,Depok,3BR,110.6,14300000,"AC, Gym, Minimarket, Parkir",9.11,3.2
142,Suites Kemang I,Jakarta Timur,1BR,30.8,5640000,"AC, Gym, Minimarket, Taman Bermain",5.36,3.3
143,Residence Green Bay A,Tangerang,3BR,101.7,11470000,"AC, Akses Kartu, Kolam Renang, Laundry, Taman Bermain",8.11,3.1
144,Tower Bintaro I,Depok,Studio,24.5,2620000,"AC, Gym, Kolam Renang, Laundry, Minimarket, Parkir",10.74,4.7
145,Suites Cikini B,Tangerang,3BR,70.2,14710000,"AC, Furnished, Gym, Keamanan 24 Jam",10.51,4.5
146,Residence Pluit B,Jakarta Timur,Studio,27.1,4460000,"Akses Kartu, Gym, Keamanan 24 Jam, Laundry, Minimarket, Parkir",5.61,4.9
147,Apartemen Royal Mediterania A,Jakarta Barat,Studio,27.7,3340000,"Gym, Parkir, Taman Bermain",9.22,3.9
148,Residence Green Bay C,Jakarta Selatan,1BR,40.6,5620000,"AC, Akses Kartu, Keamanan 24 Jam",2.69,4.2
149,Kost Eksklusif Green Bay B,Depok,1BR,33.1,3860000,"AC, Akses Kartu, Kolam Renang, Laundry",7.96,4.3
150,Suites Kuningan II,Tangerang,3BR,68.0,9760000,"Akses Kartu, Furnished, Gym, Keamanan 24 Jam, Laundry, Parkir",7.76,3.9
151,Kost Eksklusif Cikini B,Jakarta Timur,2BR,70.0,5580000,"Akses Kartu, Laundry, Taman Bermain",5.61,3.8
152,Suites Royal Mediterania II,Jakarta Utara,1BR,33.6,3700000,"Akses Kartu, Gym, Keamanan 24 Jam, Kolam Renang, Parkir",5.45,3.1
153,Apartemen Menteng B,Jakarta Barat,1BR,41.7,4970000,"Furnished, Keamanan 24 Jam, Minimarket, Parkir",8.09,4.9
154,Suites Permata C,Jakarta Barat,3BR,124.4,12570000,"Akses Kartu, Furnished, Keamanan 24 Jam, Laundry, Parkir, Taman Bermain",8.47,3.6
155,Kost Eksklusif Kelapa Gading B,Depok,3BR,95.3,13420000,"Akses Kartu, Furnished, Kolam Renang, Parkir, Taman Bermain",8.7,3.0
156,Suites Tebet I,Tangerang,2BR,45.3,6320000,"Akses Kartu, Furnished, Keamanan 24 Jam, Minimarket",4.62,3.3
157,Apartemen Sudirman I,Depok,1BR,30.4,4870000,"Akses Kartu, Gym, Kolam Renang",2.29,3.3
158,Kost Eksklusif Permata I,Jakarta Timur,Studio,26.5,2520000,"Akses Kartu, Kolam Renang, Laundry, Minimarket, Taman Bermain",6.12,3.0
159,Residence Royal Mediterania II,Jakarta Utara,2BR,40.6,8250000,"Akses Kartu, Gym, Keamanan 24 Jam, Taman Bermain",8.12,3.5
160,Apartemen Senayan I,Depok,2BR,67.8,5320000,"Akses Kartu, Furnished, Keamanan 24 Jam, Kolam Renang, Parkir, Taman Bermain",11.52,3.8
161,Suites Pluit A,Bekasi,Studio,25.6,3910000,"AC, Akses Kartu, Furnished, Gym, Kolam Renang, Laundry",1.08,4.8
162,Kost Eksklusif Kelapa Gading II,Jakarta Utara,Studio,20.2,4920000,"AC, Akses Kartu, Gym, Laundry",0.29,4.7
163,Apartemen Grand Galaxy B,Tangerang,2BR,53.4,7960000,"Akses Kartu, Furnished, Kolam Renang",9.51,4.7
164,Residence Green Bay I,Depok,3BR,128.0,9610000,"AC, Akses Kartu, Furnished, Minimarket, Parkir, Taman Bermain",7.65,3.2
165,Apartemen Sudirman C,Jakarta Utara,1BR,40.1,3710000,"Akses Kartu, Furnished, Kolam Renang, Laundry",1.94,3.9
166,Kost Eksklusif Royal Mediterania C,Jakarta Utara,Studio,19.6,2870000,"AC, Akses Kartu, Gym, Keamanan 24 Jam, Kolam Renang, Taman Bermain",5.44,4.7
167,Suites Kuningan B,Jakarta Selatan,2BR,54.5,10920000,"Akses Kartu, Furnished, Keamanan 24 Jam, Taman Bermain",6.76,3.5
168,Suites Royal Mediterania II,Jakarta Utara,3BR,74.5,8340000,"Akses Kartu, Furnished, Gym, Keamanan 24 Jam, Minimarket",3.38,3.4
169,Residence Cervino C,Jakarta Barat,1BR,33.2,5870000,"AC, Akses Kartu, Furnished, Minimarket, Parkir, Taman Bermain",4.05,4.2
170,Suites Alam Sutera A,Jakarta Timur,3BR,85.4,14720000,"Akses Kartu, Furnished, Keamanan 24 Jam, Minimarket, Parkir",11.63,4.9
171,Suites Tebet B,Jakarta Timur,1BR,39.6,4880000,"AC, Furnished, Kolam Renang, Laundry, Minimarket, Parkir",11.44,4.3
172,Kost Eksklusif Cikini I,Jakarta Timur,2BR,63.1,7860000,"Laundry, Minimarket, Taman Bermain",9.49,4.1
173,Tower Grand Galaxy A,Depok,Studio,19.3,3000000,"Kolam Renang, Laundry, Minimarket, Taman Bermain",8.01,3.0
174,Kost Eksklusif Cikini B,Jakarta Utara,1BR,36.7,4800000,"Furnished, Laundry, Minimarket, Parkir",7.01,3.7
175,Residence Cikini I,Jakarta Selatan,3BR,71.8,14380000,"AC, Furnished, Parkir, Taman Bermain",1.48,3.7
176,Residence Kelapa Gading II,Jakarta Barat,3BR,111.9,12260000,"Furnished, Gym, Kolam Renang",0.9,3.3
177,Kost Eksklusif Menteng I,Jakarta Pusat,2BR,59.6,11010000,"Akses Kartu, Keamanan 24 Jam, Kolam Renang, Laundry",4.92,4.2
178,Tower Margonda B,Tangerang,Studio,26.5,2910000,"Gym, Keamanan 24 Jam, Taman Bermain",9.05,3.9
179,Residence Cervino II,Jakarta Utara,3BR,99.3,12110000,"AC, Furnished, Gym, Keamanan 24 Jam, Parkir, Taman Bermain",7.2,4.2
180,Kost Eksklusif Kuningan II,Jakarta Pusat,2BR,44.1,7690000,"Gym, Keamanan 24 Jam, Laundry, Minimarket, Parkir, Taman Bermain",8.35,3.3
181,Kost Eksklusif Cikini I,Jakarta Utara,1BR,31.2,5600000,"Gym, Keamanan 24 Jam, Kolam Renang, Minimarket, Parkir",7.47,3.8
182,Tower Kelapa Gading II,Bekasi,3BR,111.2,10550000,"AC, Kolam Renang, Parkir",2.09,3.6
183,Suites Casablanca B,Bekasi,3BR,100.7,7910000,"AC, Akses Kartu, Gym, Kolam Renang, Minimarket",1.46,3.6
184,Kost Eksklusif Grand Galaxy B,Jakarta Selatan,3BR,82.1,16920000,"Furnished, Parkir, Taman Bermain",10.4,4.2
185,Tower Cikini A,Jakarta Timur,1BR,41.7,4930000,"AC, Akses Kartu, Furnished, Minimarket",6.43,3.3
186,Residence Bintaro I,Tangerang,Studio,29.9,4230000,"Furnished, Keamanan 24 Jam, Laundry, Parkir",1.61,3.3
187,Tower Pondok Indah I,Jakarta Utara,3BR,89.4,7600000,"AC, Akses Kartu, Laundry",9.56,3.7
188,Suites Menteng I,Jakarta Selatan,Studio,26.8,4550000,"Akses Kartu, Laundry, Parkir",4.36,3.5
189,Apartemen Casablanca B,Jakarta Utara,2BR,59.2,5520000,"Furnished, Gym, Kolam Renang, Parkir, Taman Bermain",10.24,3.9
190,Apartemen Alam Sutera B,Jakarta Selatan,3BR,78.2,15340000,"AC, Furnished, Gym, Keamanan 24 Jam",7.83,3.1
191,Residence Cikini I,Jakarta Utara,1BR,35.3,3730000,"AC, Gym, Keamanan 24 Jam, Minimarket",1.23,3.0
192,Apartemen Casablanca C,Depok,Studio,29.9,3340000,"Gym, Laundry, Parkir",1.67,3.7
193,Residence Pondok Indah C,Jakarta Utara,1BR,34.5,5530000,"AC, Akses Kartu, Gym, Kolam Renang",10.51,4.4
